employee_id,role_id,role_name,division,grade,base_salary_usd,tenure_years,rating,manager_id
E00032,R001,ML/AI Engineer,Engineering,2,102888,1.9,2,E00523
E00033,R001,ML/AI Engineer,Engineering,3,118378,1.8,4,E00581
E00034,R001,ML/AI Engineer,Engineering,1,71374,11.6,2,E00514
E00035,R001,ML/AI Engineer,Engineering,2,113027,3.9,2,E00564
E00036,R001,ML/AI Engineer,Engineering,1,89432,0.4,2,E00543
E00037,R001,ML/AI Engineer,Engineering,1,84934,1.8,3,E00572
E00038,R001,ML/AI Engineer,Engineering,1,82076,2.8,3,E00530
E00039,R001,ML/AI Engineer,Engineering,2,92257,0.0,3,E00507
E00040,R001,ML/AI Engineer,Engineering,3,121436,1.8,3,E00569
E00041,R001,ML/AI Engineer,Engineering,3,140945,1.5,4,E00581
E00042,R001,ML/AI Engineer,Engineering,1,87554,0.1,4,E00548
E00043,R001,ML/AI Engineer,Engineering,1,89436,0.1,4,E00555
E00044,R001,ML/AI Engineer,Engineering,2,104176,0.1,4,E00508
E00045,R001,ML/AI Engineer,Engineering,2,106072,5.1,2,E00548
E00046,R001,ML/AI Engineer,Engineering,2,110290,0.2,5,E00577
E00047,R001,ML/AI Engineer,Engineering,3,115559,6.4,2,E00519
E00048,R001,ML/AI Engineer,Engineering,2,91267,3.1,1,E00558
E00049,R001,ML/AI Engineer,Engineering,2,97624,2.0,2,E00578
E00050,R001,ML/AI Engineer,Engineering,2,93228,9.0,1,E00579
E00051,R001,ML/AI Engineer,Engineering,2,91280,2.3,2,E00533
E00052,R001,ML/AI Engineer,Engineering,3,137119,0.8,3,E00560
E00053,R001,ML/AI Engineer,Engineering,1,73284,1.2,3,E00536
E00054,R001,ML/AI Engineer,Engineering,2,104093,5.2,3,E00548
E00055,R001,ML/AI Engineer,Engineering,1,73839,5.1,1,E00524
E00056,R001,ML/AI Engineer,Engineering,2,106561,1.8,2,E00523
E00057,R001,ML/AI Engineer,Engineering,2,104867,2.9,2,E00518
E00058,R001,ML/AI Engineer,Engineering,1,71630,4.6,3,E00574
E00059,R001,ML/AI Engineer,Engineering,1,82811,1.5,2,E00569
E00060,R001,ML/AI Engineer,Engineering,3,117844,2.6,2,E00585
E00061,R001,ML/AI Engineer,Engineering,3,145336,1.9,4,E00575
E00062,R001,ML/AI Engineer,Engineering,2,99384,2.8,1,E00514
E00063,R001,ML/AI Engineer,Engineering,1,74620,7.3,3,E00561
E00064,R001,ML/AI Engineer,Engineering,2,102969,6.9,3,E00565
E00065,R001,ML/AI Engineer,Engineering,1,71099,5.4,5,E00567
E00066,R001,ML/AI Engineer,Engineering,3,142984,2.9,3,E00530
E00067,R001,ML/AI Engineer,Engineering,2,94944,2.2,5,E00560
E00068,R001,ML/AI Engineer,Engineering,1,73689,1.9,2,E00564
E00069,R001,ML/AI Engineer,Engineering,3,130164,1.2,2,E00576
E00070,R001,ML/AI Engineer,Engineering,1,80847,0.9,3,E00507
E00071,R001,ML/AI Engineer,Engineering,1,70591,4.8,4,E00508
E00072,R001,ML/AI Engineer,Engineering,3,141613,1.1,4,E00530
E00073,R001,ML/AI Engineer,Engineering,1,73571,7.1,3,E00580
E00074,R001,ML/AI Engineer,Engineering,1,73536,5.4,3,E00526
E00075,R001,ML/AI Engineer,Engineering,1,75176,0.1,2,E00516
E00076,R001,ML/AI Engineer,Engineering,2,101835,1.1,4,E00550
E00077,R001,ML/AI Engineer,Engineering,3,123848,1.6,2,E00515
E00078,R001,ML/AI Engineer,Engineering,1,88327,0.1,4,E00518
E00079,R001,ML/AI Engineer,Engineering,1,81377,2.1,3,E00552
E00080,R001,ML/AI Engineer,Engineering,1,87210,2.9,3,E00533
E00081,R001,ML/AI Engineer,Engineering,2,102018,1.7,5,E00537
E00082,R001,ML/AI Engineer,Engineering,1,80724,0.7,3,E00518
E00083,R002,Senior Backend/Platform Engineer,Engineering,3,123529,5.5,3,E00562
E00084,R002,Senior Backend/Platform Engineer,Engineering,2,95766,2.0,4,E00536
E00085,R002,Senior Backend/Platform Engineer,Engineering,2,114607,1.0,3,E00513
E00086,R002,Senior Backend/Platform Engineer,Engineering,2,91660,6.5,2,E00549
E00087,R002,Senior Backend/Platform Engineer,Engineering,3,139514,0.7,3,E00567
E00088,R002,Senior Backend/Platform Engineer,Engineering,2,107037,0.4,2,E00532
E00089,R002,Senior Backend/Platform Engineer,Engineering,1,86881,1.9,4,E00554
E00090,R002,Senior Backend/Platform Engineer,Engineering,3,147783,7.6,3,E00536
E00091,R002,Senior Backend/Platform Engineer,Engineering,3,131154,6.2,2,E00556
E00092,R002,Senior Backend/Platform Engineer,Engineering,1,84057,6.2,4,E00509
E00093,R002,Senior Backend/Platform Engineer,Engineering,2,100424,3.9,2,E00547
E00094,R002,Senior Backend/Platform Engineer,Engineering,2,95226,0.0,2,E00537
E00095,R002,Senior Backend/Platform Engineer,Engineering,1,71099,4.2,2,E00584
E00096,R002,Senior Backend/Platform Engineer,Engineering,2,108011,3.0,2,E00513
E00097,R002,Senior Backend/Platform Engineer,Engineering,2,92970,4.1,3,E00569
E00098,R002,Senior Backend/Platform Engineer,Engineering,1,82622,1.6,4,E00567
E00099,R002,Senior Backend/Platform Engineer,Engineering,2,110880,3.1,4,E00526
E00100,R002,Senior Backend/Platform Engineer,Engineering,2,108757,2.2,3,E00514
E00101,R002,Senior Backend/Platform Engineer,Engineering,2,100428,5.2,4,E00553
E00102,R002,Senior Backend/Platform Engineer,Engineering,1,78122,2.2,3,E00563
E00103,R002,Senior Backend/Platform Engineer,Engineering,1,73152,2.7,4,E00585
E00104,R002,Senior Backend/Platform Engineer,Engineering,1,86537,2.1,3,E00523
E00105,R002,Senior Backend/Platform Engineer,Engineering,3,125017,10.5,2,E00502
E00106,R002,Senior Backend/Platform Engineer,Engineering,2,104489,7.6,4,E00518
E00107,R002,Senior Backend/Platform Engineer,Engineering,1,74955,3.6,5,E00563
E00108,R002,Senior Backend/Platform Engineer,Engineering,3,130076,1.4,3,E00534
E00109,R002,Senior Backend/Platform Engineer,Engineering,3,125878,12.0,2,E00508
E00110,R002,Senior Backend/Platform Engineer,Engineering,1,79877,1.6,2,E00567
E00111,R002,Senior Backend/Platform Engineer,Engineering,2,110254,2.9,4,E00546
E00112,R002,Senior Backend/Platform Engineer,Engineering,1,85358,2.0,3,E00562
E00113,R002,Senior Backend/Platform Engineer,Engineering,1,73609,1.5,3,E00577
E00114,R002,Senior Backend/Platform Engineer,Engineering,2,108321,2.0,3,E00532
E00115,R002,Senior Backend/Platform Engineer,Engineering,2,112260,1.1,3,E00558
E00116,R002,Senior Backend/Platform Engineer,Engineering,1,75162,6.4,2,E00540
E00117,R002,Senior Backend/Platform Engineer,Engineering,1,77927,6.8,2,E00510
E00118,R002,Senior Backend/Platform Engineer,Engineering,1,71349,0.3,3,E00568
E00119,R002,Senior Backend/Platform Engineer,Engineering,2,109181,1.4,3,E00578
E00120,R002,Senior Backend/Platform Engineer,Engineering,2,113080,1.7,2,E00515
E00121,R002,Senior Backend/Platform Engineer,Engineering,2,91731,3.0,3,E00571
E00122,R002,Senior Backend/Platform Engineer,Engineering,1,72834,0.8,2,E00554
E00123,R002,Senior Backend/Platform Engineer,Engineering,1,70269,1.4,3,E00548
E00124,R002,Senior Backend/Platform Engineer,Engineering,2,94593,1.6,3,E00514
E00125,R002,Senior Backend/Platform Engineer,Engineering,1,78997,1.5,3,E00552
E00126,R002,Senior Backend/Platform Engineer,Engineering,1,82343,7.1,4,E00546
E00127,R002,Senior Backend/Platform Engineer,Engineering,1,70533,4.8,4,E00516
E00128,R002,Senior Backend/Platform Engineer,Engineering,3,138216,1.6,4,E00561
E00129,R002,Senior Backend/Platform Engineer,Engineering,1,87081,3.1,2,E00535
E00130,R002,Senior Backend/Platform Engineer,Engineering,2,110774,1.3,3,E00536
E00131,R002,Senior Backend/Platform Engineer,Engineering,2,109184,3.6,2,E00532
E00132,R002,Senior Backend/Platform Engineer,Engineering,2,98393,2.4,3,E00580
E00133,R002,Senior Backend/Platform Engineer,Engineering,1,80563,0.6,4,E00544
E00134,R002,Senior Backend/Platform Engineer,Engineering,1,71550,0.6,2,E00538
E00135,R002,Senior Backend/Platform Engineer,Engineering,3,121511,0.0,1,E00524
E00136,R002,Senior Backend/Platform Engineer,Engineering,1,78065,3.7,1,E00567
E00137,R002,Senior Backend/Platform Engineer,Engineering,1,85184,3.0,3,E00546
E00138,R002,Senior Backend/Platform Engineer,Engineering,3,147873,0.6,4,E00506
E00139,R002,Senior Backend/Platform Engineer,Engineering,2,93776,0.8,3,E00517
E00140,R002,Senior Backend/Platform Engineer,Engineering,2,111166,2.2,4,E00535
E00141,R002,Senior Backend/Platform Engineer,Engineering,3,147264,1.5,4,E00527
E00142,R002,Senior Backend/Platform Engineer,Engineering,1,75859,1.1,3,E00576
E00143,R002,Senior Backend/Platform Engineer,Engineering,1,76515,2.5,2,E00515
E00144,R002,Senior Backend/Platform Engineer,Engineering,1,89259,5.7,4,E00571
E00145,R002,Senior Backend/Platform Engineer,Engineering,1,82018,0.9,3,E00522
E00146,R002,Senior Backend/Platform Engineer,Engineering,1,76110,1.0,3,E00551
E00147,R002,Senior Backend/Platform Engineer,Engineering,2,112265,2.6,3,E00510
E00148,R002,Senior Backend/Platform Engineer,Engineering,1,88451,1.2,4,E00543
E00149,R002,Senior Backend/Platform Engineer,Engineering,3,127191,2.2,5,E00524
E00150,R002,Senior Backend/Platform Engineer,Engineering,1,71331,1.8,3,E00561
E00151,R002,Senior Backend/Platform Engineer,Engineering,1,77661,7.3,1,E00571
E00152,R002,Senior Backend/Platform Engineer,Engineering,3,124272,1.8,3,E00531
E00153,R002,Senior Backend/Platform Engineer,Engineering,1,73555,2.4,2,E00544
E00154,R002,Senior Backend/Platform Engineer,Engineering,2,92047,2.5,3,E00556
E00155,R002,Senior Backend/Platform Engineer,Engineering,2,91782,2.3,2,E00525
E00156,R002,Senior Backend/Platform Engineer,Engineering,2,110070,2.1,4,E00511
E00157,R002,Senior Backend/Platform Engineer,Engineering,1,86516,1.3,3,E00559
E00158,R002,Senior Backend/Platform Engineer,Engineering,1,80899,5.3,2,E00571
E00159,R002,Senior Backend/Platform Engineer,Engineering,1,86594,3.3,1,E00574
E00160,R002,Senior Backend/Platform Engineer,Engineering,3,143626,3.8,4,E00538
E00161,R002,Senior Backend/Platform Engineer,Engineering,1,79841,3.0,3,E00525
E00162,R002,Senior Backend/Platform Engineer,Engineering,2,101738,1.4,4,E00581
E00163,R002,Senior Backend/Platform Engineer,Engineering,1,87601,3.9,1,E00573
E00164,R002,Senior Backend/Platform Engineer,Engineering,3,127376,2.6,3,E00570
E00165,R003,Software Engineer (general),Engineering,3,134138,3.8,3,E00519
E00166,R003,Software Engineer (general),Engineering,1,73246,0.3,3,E00559
E00167,R003,Software Engineer (general),Engineering,1,88956,3.1,4,E00540
E00168,R003,Software Engineer (general),Engineering,1,72602,0.3,3,E00578
E00169,R003,Software Engineer (general),Engineering,1,74293,1.3,3,E00584
E00170,R003,Software Engineer (general),Engineering,3,129159,0.6,3,E00514
E00171,R003,Software Engineer (general),Engineering,1,89427,5.4,3,E00568
E00172,R003,Software Engineer (general),Engineering,2,100947,1.4,4,E00527
E00173,R003,Software Engineer (general),Engineering,2,95280,2.5,2,E00502
E00174,R003,Software Engineer (general),Engineering,1,72577,11.8,3,E00557
E00175,R003,Software Engineer (general),Engineering,2,111744,3.3,3,E00558
E00176,R003,Software Engineer (general),Engineering,2,91676,3.4,3,E00537
E00177,R003,Software Engineer (general),Engineering,3,127953,7.5,4,E00528
E00178,R003,Software Engineer (general),Engineering,1,78222,2.3,2,E00505
E00179,R003,Software Engineer (general),Engineering,1,78002,2.1,3,E00562
E00180,R003,Software Engineer (general),Engineering,2,113506,2.6,3,E00521
E00181,R003,Software Engineer (general),Engineering,1,73014,7.0,3,E00582
E00182,R003,Software Engineer (general),Engineering,3,117136,2.0,3,E00561
E00183,R003,Software Engineer (general),Engineering,1,80462,0.9,3,E00569
E00184,R003,Software Engineer (general),Engineering,1,85214,0.3,3,E00528
E00185,R003,Software Engineer (general),Engineering,1,79771,0.2,3,E00513
E00186,R003,Software Engineer (general),Engineering,1,82721,0.3,2,E00504
E00187,R003,Software Engineer (general),Engineering,1,74567,0.3,3,E00574
E00188,R003,Software Engineer (general),Engineering,1,84132,0.5,3,E00553
E00189,R003,Software Engineer (general),Engineering,2,91155,4.0,3,E00568
E00190,R003,Software Engineer (general),Engineering,2,114766,1.4,3,E00570
E00191,R003,Software Engineer (general),Engineering,1,77692,0.7,2,E00543
E00192,R003,Software Engineer (general),Engineering,1,70704,0.5,4,E00570
E00193,R003,Software Engineer (general),Engineering,1,88166,3.1,4,E00530
E00194,R003,Software Engineer (general),Engineering,3,122171,2.7,3,E00576
E00195,R003,Software Engineer (general),Engineering,1,78423,0.6,3,E00575
E00196,R003,Software Engineer (general),Engineering,2,90698,0.1,3,E00534
E00197,R003,Software Engineer (general),Engineering,1,80466,0.6,3,E00526
E00198,R003,Software Engineer (general),Engineering,2,98325,6.4,3,E00503
E00199,R003,Software Engineer (general),Engineering,2,108330,1.6,3,E00569
E00200,R003,Software Engineer (general),Engineering,1,89045,3.9,3,E00562
E00201,R003,Software Engineer (general),Engineering,2,110146,5.5,2,E00519
E00202,R003,Software Engineer (general),Engineering,1,86243,2.0,5,E00582
E00203,R003,Software Engineer (general),Engineering,3,149405,1.9,3,E00528
E00204,R003,Software Engineer (general),Engineering,1,78051,1.6,3,E00542
E00205,R003,Software Engineer (general),Engineering,3,145771,0.7,3,E00539
E00206,R003,Software Engineer (general),Engineering,2,112417,0.0,2,E00577
E00207,R003,Software Engineer (general),Engineering,2,108234,3.1,4,E00569
E00208,R003,Software Engineer (general),Engineering,3,116907,4.2,3,E00512
E00209,R003,Software Engineer (general),Engineering,1,83747,1.5,3,E00502
E00210,R003,Software Engineer (general),Engineering,1,86681,9.0,2,E00552
E00211,R003,Software Engineer (general),Engineering,1,76201,3.5,3,E00535
E00212,R003,Software Engineer (general),Engineering,1,79422,3.4,3,E00550
E00213,R003,Software Engineer (general),Engineering,1,85374,2.2,3,E00522
E00214,R003,Software Engineer (general),Engineering,2,103502,2.0,4,E00555
E00215,R003,Software Engineer (general),Engineering,2,108211,3.5,3,E00566
E00216,R003,Software Engineer (general),Engineering,1,79308,8.0,2,E00520
E00217,R003,Software Engineer (general),Engineering,3,135791,5.0,3,E00545
E00218,R003,Software Engineer (general),Engineering,1,71086,0.1,4,E00541
E00219,R003,Software Engineer (general),Engineering,1,81594,2.4,3,E00555
E00220,R003,Software Engineer (general),Engineering,3,138429,1.6,2,E00549
E00221,R003,Software Engineer (general),Engineering,3,124580,1.9,4,E00575
E00222,R003,Software Engineer (general),Engineering,2,111947,1.9,3,E00582
E00223,R003,Software Engineer (general),Engineering,3,146629,0.4,3,E00582
E00224,R003,Software Engineer (general),Engineering,1,88448,2.9,3,E00545
E00225,R003,Software Engineer (general),Engineering,1,83847,0.5,3,E00559
E00226,R003,Software Engineer (general),Engineering,2,95140,5.4,4,E00529
E00227,R003,Software Engineer (general),Engineering,1,82395,0.7,3,E00572
E00228,R003,Software Engineer (general),Engineering,2,112361,1.9,2,E00580
E00229,R003,Software Engineer (general),Engineering,1,84045,12.0,3,E00560
E00230,R003,Software Engineer (general),Engineering,1,76017,0.5,2,E00533
E00231,R003,Software Engineer (general),Engineering,1,81339,4.1,2,E00582
E00232,R003,Software Engineer (general),Engineering,1,72173,2.3,3,E00581
E00233,R003,Software Engineer (general),Engineering,3,131424,1.8,3,E00555
E00234,R003,Software Engineer (general),Engineering,2,99751,4.1,4,E00526
E00235,R003,Software Engineer (general),Engineering,2,109285,4.7,2,E00534
E00236,R003,Software Engineer (general),Engineering,2,100594,5.7,4,E00560
E00237,R003,Software Engineer (general),Engineering,2,94545,2.4,4,E00536
E00238,R003,Software Engineer (general),Engineering,2,101622,1.2,4,E00584
E00239,R003,Software Engineer (general),Engineering,1,71891,3.0,2,E00553
E00240,R003,Software Engineer (general),Engineering,1,89891,1.4,4,E00557
E00241,R003,Software Engineer (general),Engineering,1,87687,8.0,2,E00504
E00242,R003,Software Engineer (general),Engineering,2,105055,0.0,4,E00575
E00243,R003,Software Engineer (general),Engineering,1,78733,1.5,3,E00563
E00244,R003,Software Engineer (general),Engineering,1,87397,12.0,2,E00551
E00245,R003,Software Engineer (general),Engineering,2,104669,0.5,2,E00559
E00246,R003,Software Engineer (general),Engineering,2,101229,4.1,3,E00565
E00247,R003,Software Engineer (general),Engineering,2,95957,8.1,5,E00579
E00248,R003,Software Engineer (general),Engineering,3,149429,2.8,3,E00584
E00249,R003,Software Engineer (general),Engineering,3,130872,8.6,3,E00550
E00250,R003,Software Engineer (general),Engineering,1,71145,1.5,2,E00519
E00251,R003,Software Engineer (general),Engineering,1,79653,10.1,3,E00517
E00252,R003,Software Engineer (general),Engineering,2,94836,5.8,3,E00508
E00253,R003,Software Engineer (general),Engineering,1,71872,7.8,3,E00531
E00254,R003,Software Engineer (general),Engineering,1,79246,4.1,4,E00531
E00255,R003,Software Engineer (general),Engineering,3,133140,9.1,3,E00503
E00256,R003,Software Engineer (general),Engineering,2,98452,2.6,2,E00556
E00257,R003,Software Engineer (general),Engineering,3,133487,3.5,4,E00507
E00258,R003,Software Engineer (general),Engineering,3,124887,0.7,3,E00555
E00259,R003,Software Engineer (general),Engineering,2,97553,4.5,2,E00559
E00260,R003,Software Engineer (general),Engineering,1,71318,2.9,2,E00550
E00261,R003,Software Engineer (general),Engineering,1,71184,1.0,3,E00549
E00262,R003,Software Engineer (general),Engineering,2,106006,3.8,3,E00509
E00263,R003,Software Engineer (general),Engineering,2,99352,3.2,3,E00578
E00264,R003,Software Engineer (general),Engineering,1,88288,1.8,2,E00529
E00265,R003,Software Engineer (general),Engineering,1,72963,0.6,3,E00516
E00266,R003,Software Engineer (general),Engineering,3,139916,1.2,3,E00571
E00267,R003,Software Engineer (general),Engineering,3,126968,0.2,3,E00563
E00268,R003,Software Engineer (general),Engineering,3,141731,0.7,4,E00521
E00269,R003,Software Engineer (general),Engineering,1,89861,7.3,3,E00506
E00270,R003,Software Engineer (general),Engineering,3,118466,12.4,3,E00585
E00271,R003,Software Engineer (general),Engineering,1,77511,2.5,2,E00573
E00272,R003,Software Engineer (general),Engineering,1,89989,3.7,3,E00549
E00273,R003,Software Engineer (general),Engineering,3,115589,3.8,3,E00507
E00274,R003,Software Engineer (general),Engineering,1,81962,1.8,3,E00554
E00275,R003,Software Engineer (general),Engineering,2,111504,8.8,4,E00573
E00276,R003,Software Engineer (general),Engineering,3,138009,1.8,4,E00541
E00277,R003,Software Engineer (general),Engineering,3,141860,1.8,3,E00522
E00278,R003,Software Engineer (general),Engineering,3,121004,4.3,4,E00515
E00279,R003,Software Engineer (general),Engineering,2,108867,0.1,3,E00584
E00280,R003,Software Engineer (general),Engineering,2,114313,1.4,4,E00553
E00281,R003,Software Engineer (general),Engineering,2,106649,0.7,3,E00583
E00282,R003,Software Engineer (general),Engineering,1,77848,2.1,2,E00565
E00283,R003,Software Engineer (general),Engineering,1,78856,1.4,4,E00572
E00284,R003,Software Engineer (general),Engineering,1,78804,1.4,3,E00533
E00285,R003,Software Engineer (general),Engineering,2,104651,1.9,3,E00519
E00286,R003,Software Engineer (general),Engineering,3,130524,10.8,3,E00527
E00287,R003,Software Engineer (general),Engineering,3,138865,2.7,3,E00533
E00288,R003,Software Engineer (general),Engineering,2,98156,1.9,3,E00523
E00289,R003,Software Engineer (general),Engineering,3,126635,1.0,4,E00516
E00290,R003,Software Engineer (general),Engineering,2,106642,5.8,3,E00547
E00291,R003,Software Engineer (general),Engineering,1,86278,2.3,2,E00525
E00292,R003,Software Engineer (general),Engineering,1,84518,5.5,4,E00542
E00293,R003,Software Engineer (general),Engineering,3,115165,1.5,4,E00540
E00294,R003,Software Engineer (general),Engineering,2,91428,4.8,3,E00517
E00295,R003,Software Engineer (general),Engineering,2,114026,4.2,4,E00580
E00296,R003,Software Engineer (general),Engineering,2,99602,1.9,2,E00504
E00297,R003,Software Engineer (general),Engineering,1,72328,0.5,3,E00579
E00298,R003,Software Engineer (general),Engineering,1,77716,1.1,3,E00542
E00299,R003,Software Engineer (general),Engineering,3,125247,3.3,3,E00581
E00300,R003,Software Engineer (general),Engineering,1,72449,1.1,4,E00570
E00301,R003,Software Engineer (general),Engineering,1,85430,0.9,3,E00524
E00302,R003,Software Engineer (general),Engineering,1,85815,11.1,3,E00535
E00303,R003,Software Engineer (general),Engineering,1,71938,6.9,2,E00506
E00304,R003,Software Engineer (general),Engineering,2,110488,1.2,2,E00541
E00305,R003,Software Engineer (general),Engineering,3,149053,0.9,4,E00574
E00306,R003,Software Engineer (general),Engineering,1,76037,15.0,3,E00518
E00307,R003,Software Engineer (general),Engineering,2,95617,0.5,3,E00546
E00308,R003,Software Engineer (general),Engineering,1,79286,0.3,2,E00583
E00309,R003,Software Engineer (general),Engineering,3,135980,2.0,3,E00543
E00310,R003,Software Engineer (general),Engineering,1,86345,9.3,5,E00513
E00311,R003,Software Engineer (general),Engineering,2,104875,3.4,3,E00565
E00312,R003,Software Engineer (general),Engineering,1,86601,1.8,2,E00573
E00313,R003,Software Engineer (general),Engineering,1,89887,5.5,4,E00558
E00314,R003,Software Engineer (general),Engineering,3,129753,1.4,2,E00509
E00315,R003,Software Engineer (general),Engineering,1,70703,0.7,2,E00579
E00316,R003,Software Engineer (general),Engineering,2,113759,5.4,4,E00556
E00317,R003,Software Engineer (general),Engineering,2,108725,2.4,4,E00575
E00318,R003,Software Engineer (general),Engineering,1,73895,1.5,3,E00570
E00319,R003,Software Engineer (general),Engineering,3,144091,3.8,2,E00504
E00320,R003,Software Engineer (general),Engineering,1,87067,0.4,3,E00568
E00321,R003,Software Engineer (general),Engineering,3,134315,0.7,3,E00562
E00322,R003,Software Engineer (general),Engineering,1,80725,3.1,3,E00564
E00323,R003,Software Engineer (general),Engineering,1,84697,7.9,3,E00553
E00324,R003,Software Engineer (general),Engineering,1,83043,4.9,3,E00545
E00325,R003,Software Engineer (general),Engineering,2,96074,3.7,3,E00503
E00326,R003,Software Engineer (general),Engineering,2,106900,0.6,3,E00506
E00327,R003,Software Engineer (general),Engineering,1,78704,7.5,3,E00509
E00328,R003,Software Engineer (general),Engineering,1,89195,3.4,3,E00566
E00329,R003,Software Engineer (general),Engineering,1,70049,0.1,4,E00506
E00330,R003,Software Engineer (general),Engineering,2,109280,6.4,2,E00541
E00331,R003,Software Engineer (general),Engineering,1,76630,1.1,2,E00530
E00332,R003,Software Engineer (general),Engineering,2,97724,0.5,3,E00582
E00333,R003,Software Engineer (general),Engineering,3,127516,0.8,3,E00515
E00334,R003,Software Engineer (general),Engineering,3,135822,0.6,3,E00512
E00335,R003,Software Engineer (general),Engineering,1,82302,3.2,2,E00583
E00336,R003,Software Engineer (general),Engineering,1,87024,3.5,3,E00544
E00337,R003,Software Engineer (general),Engineering,1,74391,5.7,3,E00575
E00338,R003,Software Engineer (general),Engineering,3,137317,2.6,3,E00511
E00339,R003,Software Engineer (general),Engineering,1,89387,0.2,4,E00572
E00340,R003,Software Engineer (general),Engineering,1,74734,0.3,3,E00548
E00341,R003,Software Engineer (general),Engineering,1,73893,3.8,3,E00565
E00342,R003,Software Engineer (general),Engineering,1,72068,5.2,4,E00558
E00343,R003,Software Engineer (general),Engineering,3,137656,0.4,3,E00539
E00344,R003,Software Engineer (general),Engineering,2,98046,6.9,5,E00564
E00345,R003,Software Engineer (general),Engineering,2,108960,4.0,4,E00502
E00346,R003,Software Engineer (general),Engineering,1,86846,7.2,3,E00508
E00347,R003,Software Engineer (general),Engineering,1,82557,0.9,2,E00549
E00348,R003,Software Engineer (general),Engineering,3,128428,10.5,3,E00515
E00349,R003,Software Engineer (general),Engineering,1,71335,12.4,4,E00544
E00350,R003,Software Engineer (general),Engineering,1,70053,1.6,3,E00522
E00351,R003,Software Engineer (general),Engineering,1,71768,1.9,4,E00538
E00352,R003,Software Engineer (general),Engineering,1,87930,0.8,3,E00528
E00353,R003,Software Engineer (general),Engineering,1,82133,2.0,2,E00527
E00354,R003,Software Engineer (general),Engineering,1,74316,4.2,3,E00557
E00355,R003,Software Engineer (general),Engineering,1,84656,1.6,3,E00557
E00356,R004,SRE/DevOps Engineer,Engineering,2,99421,1.0,3,E00552
E00357,R004,SRE/DevOps Engineer,Engineering,2,101049,7.8,3,E00511
E00358,R004,SRE/DevOps Engineer,Engineering,1,86982,5.3,3,E00543
E00359,R004,SRE/DevOps Engineer,Engineering,1,77907,0.1,2,E00566
E00360,R004,SRE/DevOps Engineer,Engineering,2,99923,0.6,2,E00503
E00361,R004,SRE/DevOps Engineer,Engineering,1,85831,1.3,3,E00541
E00362,R004,SRE/DevOps Engineer,Engineering,2,94834,1.2,3,E00537
E00363,R004,SRE/DevOps Engineer,Engineering,2,109932,3.8,2,E00540
E00364,R004,SRE/DevOps Engineer,Engineering,1,74927,2.4,3,E00562
E00365,R004,SRE/DevOps Engineer,Engineering,1,83156,3.4,3,E00579
E00366,R004,SRE/DevOps Engineer,Engineering,1,80352,2.7,3,E00525
E00367,R004,SRE/DevOps Engineer,Engineering,1,84811,3.2,3,E00520
E00368,R004,SRE/DevOps Engineer,Engineering,1,70248,0.1,2,E00532
E00369,R004,SRE/DevOps Engineer,Engineering,1,73059,0.6,3,E00531
